"BehaviorSpace results (NetLogo 6.2.0)"
"multi-agent_signaling_game.nlogo"
"BmA2v3"
"10/07/2022 19:27:40:488 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"eavesdroppers?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"num-signals","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"num-agents","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"success-threshold","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65"
"failure-update?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"biased-movement?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"num-states","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"[steps]","10000","2394","10000","3312","9080","1143","6710","2331","3631","780","1730","6430","1443","4107","1968","10000","10000","10000","4230","4888","10000","1765","2127","1669","1029","1482","3148","10000","5330","1640","1453","1940","3303","2099","2492","1226","2673","4205","10000","6567","799","2896","4151","6569","1010","2489","840","1653","2481","1297"

"[initial & final values]","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?"
,"No","1557","No","2150","5933","744","4427","1525","2379","495","1121","4163","918","2635","1314","No","No","No","2769","3176","No","1121","1304","1101","664","930","2022","No","3540","1015","922","1314","2119","1337","1628","747","1707","2611","No","4275","530","1887","2738","4401","669","1638","523","999","1650","840"
