"BehaviorSpace results (NetLogo 6.2.0)"
"multi-agent_signaling_game.nlogo"
"synonyms"
"09/26/2022 19:50:45:931 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"eavesdroppers?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"num-signals","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"num-agents","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"success-threshold","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95"
"failure-update?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"biased-movement?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"num-states","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"[steps]","1394","329","1205","484","1093","900","1184","664","553","716","712","1686","929","383","565","392","1684","292","2970","336","680","522","2399","543","1291","608","633","768","1328","451","836","1095","524","1064","457","496","796","1133","466","334","346","1128","839","1111","6481","488","740","6385","322","535"

"[initial & final values]","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?"
,"887","224","783","319","692","540","722","440","345","428","452","1104","590","223","348","268","1084","186","1942","230","473","336","1504","458","856","398","381","520","893","315","571","647","325","694","291","316","501","742","294","219","238","749","556","785","4171","328","469","4187","184","378"
