"BehaviorSpace results (NetLogo 6.2.0)"
"multi-agent_signaling_game.nlogo"
"BmA3v2e"
"10/03/2022 10:09:28:041 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"eavesdroppers?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"num-signals","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"num-agents","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"success-threshold","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95"
"failure-update?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"biased-movement?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"num-states","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"[steps]","218","4042","601","273","279","676","734","621","586","324","824","401","343","2098","388","261","828","971","626","631","707","647","387","266","907","271","379","195","333","240","1284","877","304","433","351","195","276","401","552","198","300","441","458","323","725","424","1105","499","440","292"

"[initial & final values]","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?"
,"138","2531","360","180","144","403","499","407","362","201","555","253","201","1397","240","161","557","616","401","419","456","408","243","180","577","183","230","124","208","152","853","553","203","267","218","129","187","259","386","127","172","302","176","214","496","248","732","354","263","188"
