"BehaviorSpace results (NetLogo 6.2.0)"
"Signaling Game.nlogo"
"experiment"
"09/17/2022 08:10:04:276 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-14","14"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"number-of-states","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"print-probabilities?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"number-of-signals","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"[reporter]","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)","(precision (probability-of-success * 100) 2)"
"[final]","99","96.32","99","99","99","99","79.64","99","99","98.11","99","99","93.69","98.12","99","92.15","99","99","99","92.18","99","99","99","99","99","99","59.16","99","99","99","99","99","99","99","99","98.61","99","99","99","99","92.87","99","99","99","99","99","99","99","99","99","99","98.76","99","93.2","99","99","99","99","99","99","98.97","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","95.06","99","99","99","99","99","99","99","99","99","99","98.19","99","99","99","99","99","99","99","99","99","99","99","99"
"[min]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"[max]","99","96.32","99","99","99","99","79.64","99","99","98.11","99","99","93.69","98.12","99","92.15","99","99","99","92.18","99","99","99","99","99","99","59.16","99","99","99","99","99","99","99","99","98.61","99","99","99","99","92.87","99","99","99","99","99","99","99","99","99","99","98.76","99","93.2","99","99","99","99","99","99","98.97","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","95.06","99","99","99","99","99","99","99","99","99","99","98.19","99","99","99","99","99","99","99","99","99","99","99","99"
"[mean]","94.52535956580729","88.61737426257412","95.68991827637448","94.40298809523816","94.76615699658704","95.43882803060814","65.29435956404372","95.04129496402878","94.5617021276596","93.06437856214322","94.96978520286396","94.92818289786224","83.76373962603758","92.92672732726703","94.73023584905661","80.81795420457944","94.86411019849398","95.1986473429952","95.0319495569189","81.59910208979129","94.81468253968255","94.97818660287085","94.92019002375302","95.58486356340293","94.66435980551056","95.40394299287414","55.00670332966752","95.4721497584542","94.60532951289399","94.03472813238771","95.242464","94.83342597029234","94.99990566037732","95.1355072463768","94.8045671927308","93.24116288371143","94.38579200000001","95.75446254071662","95.21338146811077","95.4637712895377","81.26610538946161","94.97358237547893","95.33721549636806","95.91106408706177","94.49052009456268","93.8684160756501","94.95245508982042","94.5607244655582","95.00518638573746","94.68528720626645","94.50401253918496","94.05109289071054","94.8169249106079","83.24002099790044","94.07705047318613","95.88171243941844","94.83635930047696","95.23562679425837","94.54428706326726","95.14216828478962","94.63906809319042","95.25778319123027","95.10073954983926","95.22628189550431","94.71995253164556","95.41180291566681","95.1997244732577","94.34117924528306","94.40584920634927","93.03724347014924","95.26710077751133","94.7940097799511","95.59782051282052","95.40375945017188","94.68995260663512","94.28382422802852","82.91840915908439","94.66047826991037","94.91988123515439","95.58162074554298","94.67049881235154","95.16302681992342","95.26441247002376","95.49795171026143","95.53056089743592","95.31090011961686","94.72360128617362","93.24433356664372","94.49235663786335","94.8464147909968","95.26017213555683","95.02006988564118","95.35441566265054","95.26644750795357","95.160662506001","94.85064439140794","94.77817362428844","95.00318072289157","95.45059612093532","94.7426055776893"
"[steps]","1473","10000","2691","839","1464","2482","10000","416","1268","10000","418","841","10000","10000","423","10000","2921","413","1466","10000","629","2089","420","1245","616","841","10000","827","1046","422","624","2086","423","413","2090","10000","624","613","830","410","10000","1043","825","826","422","422","834","841","616","2297","637","10000","838","10000","633","618","628","2089","1058","617","10000","820","1243","822","631","5418","616","423","1259","2143","6687","408","623","1454","421","420","10000","4808","420","616","420","1043","2918","2484","623","3343","621","10000","1272","1243","1858","3147","1659","1885","2082","2932","2107","414","3505","1254"

