"BehaviorSpace results (NetLogo 6.2.0)"
"multi-agent_signaling_game.nlogo"
"big exp 1"
"10/31/2022 18:47:39:515 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-4","4","-4","4"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"eavesdroppers?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"num-signals","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"num-agents","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"success-threshold","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65"
"failure-update?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"biased-movement?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"num-states","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"[steps]","10000","10000","10000","9367","10000","10000","10000","10000","10000","10000","10000","9933","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","8914","10000","10000","10000","10000","10000","10000","10000","10000","9007","10000","10000","10000","10000","10000"

"[initial & final values]","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?","success?"
,"No","No","No","325","No","No","No","No","No","No","No","369","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","374","No","No","No","No","No","No","No","No","347","No","No","No","No","No"
